species;Mig;Hab;Mass;Prev
Acrocephalus_palustris;L;WE;12;0.081831832
Acrocephalus_schoenobaenus;L;WE;12;0.124624625
Acrocephalus_scirpaceus;L;WE;13;0.147897898
Actitis_hypoleucos;L;WE;47.5;0.302552553
Aegithalos_caudatus;R;FO;8;0.132132132
Alauda_arvensis;S;CU;37;0.284534535
Anas_crecca;S;WE;370.3333333;0.180930931
Anas_platyrhynchos;S;WE;1028.5;0.366366366
Anser_anser;S;WE;3464.5;0.141141141
Anthus_pratensis;S;MM;18;0.382132132
Anthus_trivialis;L;FO;23;0.85960961
Apus_apus;L;CU;42;0.411411411
Ardea_cinerea;S;WE;1433;0.167417417
Aythya_fuligula;S;WE;656.5;0.111111111
Bonasa_bonasia;R;FO;369.5;0.171921922
Branta_canadensis;S;WE;4635;0.3003003
Bucephala_clangula;S;WE;840.3333333;0.388888889
Buteo_buteo;S;FO;806.5;0.302552553
Calcarius_lapponicus;S;MM;26;0.043543544
Calidris_alpina;S;MM;49;0.01951952
Carduelis_cannabina;S;CU;17;0.142642643
Carduelis_carduelis;S;CU;18;0.078078078
Carduelis_chloris;R;CU;29;0.537537538
Carduelis_flammea;S;FO;14;0.352102102
Carduelis_spinus;S;FO;13;0.810810811
Carpodacus_erythrinus;L;WE;23;0.172672673
Certhia_familiaris;R;FO;9;0.404654655
Clangula_hyemalis;S;WE;761.5;0.015765766
Coccothraustes_coccothraustes;S;FO;53;0.096846847
Columba_livia;R;CU;302;0.095345345
Columba_oenas;S;FO;301;0.159159159
Columba_palumbus;S;FO;501;0.695945946
Corvus_corax;R;FO;1195;0.601351351
Corvus_corone;R;CU;525;0.704954955
Corvus_monedula;R;CU;225;0.336336336
Cuculus_canorus;L;FO;112;0.848348348
Cygnus_cygnus;S;WE;9400;0.248498499
Cygnus_olor;S;WE;10750;0.106606607
Delichon_urbicum;L;CU;17;0.282282282
Dendrocopos_major;R;FO;90;0.686936937
Dryocopus_martius;R;FO;380;0.518768769
Emberiza_citrinella;R;CU;30;0.572822823
Emberiza_rustica;L;FO;19;0.103603604
Emberiza_schoeniclus;S;WE;19;0.480480481
Erithacus_rubecula;S;FO;16;0.807807808
Eudromias_morinellus;S;MM;108.5;0.01951952
Falco_tinnunculus;S;CU;174.5;0.093843844
Ficedula_hypoleuca;L;FO;13;0.737987988
Fringilla_coelebs;S;FO;22;0.85960961
Fringilla_montifringilla;S;FO;22;0.41966967
Fulica_atra;S;WE;732.5;0.06981982
Gallinago_gallinago;S;WE;106.5;0.521771772
Garrulus_glandarius;R;FO;160;0.471471472
Gavia_arctica;S;WE;2804.5;0.247747748
Gavia_stellata;S;WE;1603;0.107357357
Grus_grus;S;WE;4114.5;0.436936937
Haematopus_ostralegus;S;WE;528.5;0.078828829
Hippolais_icterina;L;FO;14;0.204954955
Hirundo_rustica;L;CU;19;0.491741742
Jynx_torquilla;L;FO;37.5;0.218468469
Lagopus_lagopus;R;MM;550.5;0.138888889
Lagopus_muta;R;MM;449;0.043543544
Lanius_collurio;L;FO;29;0.234234234
Larus_argentatus;S;WE;1060.5;0.277027027
Larus_canus;S;WE;386.5;0.563063063
Larus_marinus;S;WE;1606.5;0.078828829
Larus_ridibundus;S;WE;277;0.289039039
Loxia_curvirostra;R;FO;41;0.617867868
Loxia_pytyopsittacus;R;FO;56;0.12987988
Lullula_arborea;S;FO;29;0.093093093
Luscinia_luscinia;L;FO;27;0.156156156
Luscinia_svecica;L;MM;18;0.103603604
Mergus_merganser;S;WE;1435.5;0.164414414
Motacilla_alba;S;CU;20;0.622372372
Motacilla_flava;L;MM;19;0.344594595
Muscicapa_striata;L;FO;16;0.656156156
Numenius_arquata;S;CU;725;0.222972973
Numenius_phaeopus;L;MM;383;0.149399399
Oenanthe_oenanthe;L;MM;23;0.247747748
Pandion_haliaetus;L;WE;1527.5;0.111861862
Parus_ater;R;FO;9;0.393393393
Parus_caeruleus;R;FO;11;0.507507508
Parus_cristatus;R;FO;12;0.369369369
Parus_major;R;FO;19;0.804054054
Parus_montanus;R;FO;11;0.597597598
Parus_palustris;R;FO;12;0.183933934
Passer_domesticus;R;CU;32;0.183183183
Passer_montanus;R;CU;23;0.22972973
Perisoreus_infaustus;R;FO;82;0.111861862
Phalacrocorax_carbo;S;WE;2254;0.102102102
Phasianus_colchicus;R;CU;1087.5;0.180930931
Phoenicurus_phoenicurus;L;FO;15;0.652402402
Phylloscopus_collybita;L;FO;8;0.316816817
Phylloscopus_sibilatrix;L;FO;10;0.458708709
Phylloscopus_trochilus;L;FO;9;0.976726727
Pica_pica;R;CU;235;0.434684685
Picus_viridis;R;FO;191;0.271021021
Plectrophenax_nivalis;S;MM;35;0.022522523
Pluvialis_apricaria;S;MM;175.5;0.182432432
Podiceps_cristatus;S;WE;1068.25;0.082582583
Prunella_modularis;S;FO;19;0.67042042
Pyrrhula_pyrrhula;R;FO;29;0.445195195
Regulus_regulus;R;FO;6;0.648648649
Saxicola_rubetra;L;CU;17;0.531531532
Scolopax_rusticola;S;FO;312;0.192942943
Sitta_europaea;R;FO;18;0.306306306
Stercorarius_longicaudus;L;MM;276;0.027777778
Sterna_hirundo;L;WE;133;0.192192192
Sturnus_vulgaris;S;CU;77;0.38963964
Sylvia_atricapilla;L;FO;20;0.484984985
Sylvia_borin;L;FO;20;0.622372372
Sylvia_communis;L;CU;15;0.373873874
Sylvia_curruca;L;FO;12;0.547297297
Tetrao_tetrix;R;FO;1088;0.380630631
Tetrao_urogallus;R;FO;2931;0.24024024
Tringa_glareola;L;MM;67.5;0.322072072
Tringa_nebularia;L;MM;173.5;0.271771772
Tringa_ochropus;L;FO;80;0.492492493
Tringa_totanus;S;WE;107;0.146396396
Troglodytes_troglodytes;S;FO;10;0.499249249
Turdus_iliacus;S;FO;60;0.789039039
Turdus_merula;S;FO;101;0.662162162
Turdus_philomelos;S;FO;69;0.894894895
Turdus_pilaris;S;CU;106;0.749249249
Turdus_torquatus;S;MM;101;0.058558559
Turdus_viscivorus;S;FO;115;0.507507508
Vanellus_vanellus;S;CU;206;0.278528529
